,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,(%),(md),(mm),categ,,,,,
308,3.0,308.0,21.1,154.8816618912482,,,Distal fluvial and floodplain,NM,,,
309,3.0,309.0,21.9,158.48931924611153,,,Distal fluvial and floodplain,NM,,,
310,3.0,310.0,23,173.78008287493768,,,Distal fluvial and floodplain,NM,,,
311,3.0,311.0,24,158.48931924611153,,,Distal fluvial and floodplain,NM,,,
312,3.0,312.0,24.6,177.82794100389242,,,Distal fluvial and floodplain,NM,,,
313,3.0,313.0,20.6,125.89254117941677,,,Distal fluvial and floodplain,NM,,,
314,3.0,314.0,21.9,131.82567385564084,,,Distal fluvial and floodplain,NM,,,
315,3.0,315.0,22.9,141.25375446227542,,,Distal fluvial and floodplain,NM,,,
316,3.0,316.0,23.8,134.89628825916537,,,Distal fluvial and floodplain,NM,,,
317,3.0,317.0,25.1,147.91083881682084,,,Distal fluvial and floodplain,NM,,,
318,3.0,318.0,22.2,123.02687708123821,,,Distal fluvial and floodplain,NM,,,
319,3.0,319.0,23,123.02687708123821,,,Distal fluvial and floodplain,NM,,,
320,3.0,320.0,24.7,123.02687708123821,,,Distal fluvial and floodplain,NM,,,
321,3.0,321.0,22.8,104.71285480508998,,,Distal fluvial and floodplain,NM,,,
322,3.0,322.0,21,97.72372209558112,,,Distal fluvial and floodplain,NM,,,
323,3.0,323.0,22,93.32543007969917,,,Distal fluvial and floodplain,NM,,,
324,3.0,324.0,22.2,89.12509381337456,,,Distal fluvial and floodplain,NM,,,
325,3.0,325.0,24.9,81.28305161640996,,,Distal fluvial and floodplain,NM,,,
326,3.0,326.0,20.3,588.8436553555896,,,Distal fluvial and floodplain,NM,,,
327,3.0,327.0,21.1,602.5595860743578,,,Distal fluvial and floodplain,NM,,,
328,3.0,328.0,22,630.9573444801932,,,Distal fluvial and floodplain,NM,,,
329,3.0,329.0,22.1,776.2471166286923,,,Distal fluvial and floodplain,NM,,,
330,3.0,330.0,20.2,44.668359215096324,,,Distal fluvial and floodplain,NM,,,
